,Tipo de Propiedad,Zona,Ciudad,Barrio,Calle,Tipo de Barrio,Apto Escritura,Apto Crédito,Etapa de Construcción,Antigüedad,Cantidad de Plantas,Cantidad de Dormitorios,Cantidad de Baños,Cantidad de Cocheras,Cobertura Cocheras,Superficie Total m2,Superficie Cubierta m2,Valor
1923,Casa,,Córdoba,Córdoba,CHACRAS DEL NORTE Lote 81,,,,,A estrenar,,3.0,2.0,0.0,,180,151,210000.0
1924,Casa,,Tala Huasi,Tala Huasi,TU CASA SERRANA EN 6 MESES 100,,,,,,,,,,,1000,60,38015.0
1925,Casa,,Córdoba,Cofico,Cofico,,,,,,,4.0,4.0,,,200,237,210000.0
1926,Casa,,Córdoba,Empalme,Callao 1900,,,,,15,,3.0,,,,198,120,64432.0
1927,Casa,,Córdoba,ordoba,celia torra 2924,,,,,35,,3.0,,,,220,120,77000.0
1928,Casa,,Córdoba,Córdoba,Pje. Valtodano  1300,,,,,40,,4.0,,,,336,336,450000.0
1929,Casa,,Otro,Otro,,,,,,25,,3.0,2.0,,,250,170,158000.0
1930,Casa,,Villa Carlos Paz,Villa Carlos Paz,LA CUESTA 111,,,,,46,,4.0,3.0,2.0,,1440,186,430000.0
1931,Casa,,Córdoba,Córdoba,DERQUI VILLA PEHUEN 453,,,,,10,,2.0,,,,150,98,173000.0
1932,Casa,,Córdoba,Juniors,Alejandro Carbo  1500,,,,,40,,3.0,,,,270,200,0.0
1933,Casa,,Córdoba,Córdoba,Jose Moretto 3600,,,,,68,,2.0,,0.0,,440,158,220000.0
1934,Casa,,Córdoba,Córdoba,Departamento en Venta de 3 Dormitorios en Casonas del Cerro. Con Cochera Para 2 Autos,,,,,A estrenar,,3.0,2.0,2.0,,160,160,510000.0
1935,Casa,,Córdoba,Ayacucho,Mancha Y Velazco 1600,,,,,20,,3.0,2.0,,,309,167,200000.0
1936,Casa,,Córdoba,Las Tejas del Sur,Melincue 700,,,,,13,,3.0,2.0,,,218,157,260000.0
1937,Casa,,Villa Carlos Paz,Villa Carlos Paz,PELLEGRINI  484,,,,,28,,3.0,2.0,,,700,123,129000.0
1938,Casa,,Villa General Belgrano,Villa General Belgrano,Av. Comechingones,,,,,30,,5.0,3.0,2.0,,4200,443,0.0
1939,Casa,,Córdoba,Córdoba,Cañuelas Village,,,,,1,,3.0,3.0,2.0,,700,250,360000.0
1940,Casa,,Punilla,Punilla,ruta 38,,,,,,,4.0,2.0,2.0,,1240,300,219000.0
1941,Casa,,Córdoba,Jardín Espinoza,Jardin Espinosa,,,,,5,,4.0,3.0,0.0,,420,350,330000.0
1942,Casa,,Córdoba,Villa Rivera Indarte,Villa Rivera Indarte 3 Dormitorios Pileta 700m2 Terreno Oportunidad Apta Credito,,,,,A estrenar,,3.0,2.0,2.0,,700,271,160000.0
1943,Casa,,Santa María,Anisacate,,,,,,2,,3.0,2.0,,,980,,1.0
1944,Casa,,Las Varas,Las Varas, Calle J. I. Peralta 1,,,,,,,,,,,,,64432.0
1945,Casa,,Córdoba,La Catalina,Bodereau 8700,,,,,4,,3.0,3.0,,,240,115,150000.0
1946,Casa,,calamuchita,calamuchita,Santa Rosa de Calamuchita,,,,,A estrenar,,0.0,0.0,0.0,,4500,160,69000.0
1947,Casa,,Bialet Massé,Bialet Massé,Frondizi S/N,,,,,,,4.0,,,,493,227,89900.0
1948,Casa,,Cosquín,Cosquín,De Las Armaduras 70,,,,,1,,2.0,,,,500,60,59000.0
1949,Casa,,Córdoba,Miradores de Manantiales,Miradores de Manantiales,,,,,A estrenar,,3.0,3.0,2.0,,250,180,255000.0
1950,Casa,,Córdoba,Ayacucho,Francisco de Toledo 1658,,,,,30,,4.0,4.0,,,292,304,170000.0
1951,Casa,,Villa Allende,Villa Allende,Villa Allende Lomas GUAYAQUIL 1688,,,,,,,,,,,,,770000.0
1952,Casa,,La Cumbrecita,La Cumbrecita,Villa Berna,,,,,,,,,,,,,270000.0
1953,Casa,,San Antonio de Arredondo,San Antonio de Arredondo,Av. Perito Moreno 200,,,,,,,,,4.0,,1400,350,250000.0
1954,Casa,,Córdoba,Córdoba,Achira 9474,,,,,A estrenar,,3.0,2.0,,,510,179,159000.0
1955,Casa,,Marcos Juárez,Marcos Juárez,BEIRO 777,,,,,55,,3.0,2.0,,,666,262,296000.0
1956,Casa,,Córdoba,Villa Belgrano,Villa Belgrano Hopkins 1,,,,,,,,,,,,,305000.0
1957,Casa,,Mendiolaza,Mendiolaza,Estancia Q2. 0,,,,,,,,,,,,,620000.0
1958,Casa,,Córdoba,Villa Warcalde,Ricardo Santos  10400,,,,,A estrenar,,2.0,3.0,,,129,93,195000.0
1959,Casa,,Córdoba,Alejandro Centeno,Gobernador ortiz de ocampo 4487,,,,,30,,5.0,3.0,2.0,,1500,400,410000.0
1960,Casa,,Villa Carlos Paz,Villa Carlos Paz,JUAN B. JUSTO 300,,,,,44,,2.0,2.0,,,300,70,155000.0
1961,Casa,,Córdoba,Argüello,Mocovies 6758,,,,,37,,2.0,,,,154,94,75000.0
1962,Casa,,Córdoba,Lomas del Chateau,Requinoa 37,,,,,20,,2.0,,2.0,,300,140,120000.0
1963,Casa,,Córdoba,Argüello,Mocovies 7275,,,,,,,,,,,238,238,42000.0
1964,Casa,,Córdoba,Córdoba,Gomez Pereyra 3400,,,,,30,,2.0,,0.0,,225,118,88000.0
1965,Casa,,Córdoba,Córdoba,Barrancas del Norte - Colinas del Cerro,,,,,12,,3.0,5.0,4.0,,1050,620,1000000.0
1966,Casa,,Córdoba,Cerro de las Rosas,Victorino Rodríguez 1700,,,,,34,,4.0,6.0,0.0,,519,282,290000.0
1967,Casa,,Villa Carlos Paz,Villa Carlos Paz,,,,,,10,,2.0,,,,500,85,115000.0
1968,Casa,,Córdoba,Colón,Córdoba. Sierras Chicas.,,,,,50,,4.0,2.0,,,5000,250,200000.0
1969,Casa,,Córdoba,Don Bosco,FRANCISCO LUNA Y GANDHI 0,,,,,10,,2.0,,,,230,90,99000.0
1970,Casa,,Córdoba,Los Plátanos,Duplex A LA Venta 2 Dormitorios  LOS Platanos,,,,,A estrenar,,2.0,2.0,0.0,,102,90,85000.0
1971,Casa,,Mendiolaza,alle del Sol,El Jilguero 317,,,,,20,,4.0,3.0,2.0,,750,230,192000.0
1972,Casa,,Córdoba,El Trébol,Alfred Shiuma  3000,,,,,42,,5.0,3.0,4.0,,201,201,150000.0
1973,Casa,,Punilla,Punilla,Los Carpinteros,,,,,A estrenar,,5.0,3.0,,,1020,370,170000.0
1974,Casa,,Villa Allende,Villa Allende,Prados de la Villa,,,,,6,,3.0,2.0,2.0,,400,200,238000.0
1975,Casa,,Córdoba,Lomas de San Martín,PABLO BARRELLIER 2700,,,,,,,5.0,3.0,2.0,,320,240,180000.0
1976,Casa,,Córdoba,Jardín,Tanti 1700,,,,,12,,3.0,2.0,,,251,248,225000.0
1977,Casa,,Capilla del Monte,Capilla del Monte,Sabattini  1400,,,,,20,,2.0,2.0,5.0,,208,208,390000.0
1978,Casa,,Córdoba,Colón,Jorge Luis Borges  300,,,,,15,,3.0,,,,350,,48943.0
1979,Casa,,Santa María,Santa María,Country Causana,,,,,A estrenar,,3.0,3.0,2.0,,2500,250,290000.0
1980,Casa,,Villa Carlos Paz,Villa Carlos Paz,INTENDENTE GARCIA 300,,,,,30,,2.0,,,,300,100,99000.0
1981,Casa,,Córdoba,San Martín,SOLDADO RUIZ 1800,,,,,43,,2.0,,,,544,212,140000.0
1982,Casa,,Bialet Massé,Bialet Massé,Caminiaga 3300,,,,,17,,2.0,,,,260,138,110000.0
1983,Casa,,San Francisco,San Francisco,,,,,,,,,,,,,,0.0
1984,Casa,,Córdoba,Villa Belgrano,Villa Belgrano Av. Laplace 5200,,,,,,,,,,,,,380000.0
1985,Casa,,Córdoba,Claros del Bosque,Claros del Bosque - Duplex a Estrenar! 3 Dormitorios (baño en Suite y Vestidor),,,,,A estrenar,,3.0,3.0,,,154,,0.0
1986,Casa,,Córdoba,entenario,Martel de los Rios 2439,,,,,73,,5.0,5.0,,,1200,601,380000.0
1987,Casa,,Córdoba,Cerro de las Rosas,Fernando Fader 3500,,,,,10,,5.0,4.0,3.0,,500,400,380000.0
1988,Casa,,Córdoba,Córdoba,La Paya - Duplex 3 Dormitorios! Pegado a Tejas del Sur 2.,,,,,A estrenar,,0.0,0.0,0.0,,125,,0.0
1989,Casa,,Alta Gracia,La Hornilla,José Giorello 200,,,,,90,,,,,,289,163,260000.0
1990,Casa,,Córdoba,Córdoba,Manco Capac 3300,,,,,A estrenar,,6.0,4.0,,,482,334,290000.0
1991,Casa,,Córdoba,La Rufina,La Rufina 2 Dormitorios dep de Serv. Vistas Oportunidad,,,,,A estrenar,,2.0,3.0,2.0,,806,190,310000.0
1992,Casa,,Córdoba,Valle Escondido ,LOS Sueños - Valle Escondido,,,,,9,,4.0,0.0,4.0,,750,287,420000.0
