,Tipo de Propiedad,Zona,Barrio,Tipo de Barrio,Cantidad de Dormitorios,Cantidad de Baños,Cantidad de Cocheras,Superficie Cubierta m2,Superficie Total m2,Zona_was_missing,Barrio_was_missing,Tipo de Barrio_was_missing,Cantidad de Dormitorios_was_missing,Cantidad de Baños_was_missing,Cantidad de Cocheras_was_missing,Superficie Cubierta m2_was_missing,Superficie Total m2_was_missing,Valor
2699,Duplex,Noroeste,Chacra del Norte,Con Seguridad,3.0,3.0,2.0,150.0,233.60760498046875,False,False,False,False,False,False,False,True,185000.0
2700,Casa,Cerro-Argüello,Lomas Este,Abierto,3.0,2.0,0.0,220.43980407714844,392.5031433105469,False,False,False,False,True,True,True,True,260000.0
2701,Casa,Sudeste,Maipú Sección 1,Abierto,3.0,2.0,1.0,170.0,312.0,False,False,False,False,False,False,False,False,130000.0
2702,Casa,Cerro-Argüello,Centenario,Abierto,4.0,3.0,2.0,180.0,225.0,False,False,False,False,False,False,False,False,225000.0
2703,Casa,Cerro-Argüello,Mendiolaza Golf,Cerrado,3.0,3.0,4.0,317.0,4000.0,False,False,False,False,False,False,False,False,375000.0
2704,Casa,Cerro-Argüello,Santina Norte,Cerrado,3.0,4.0,2.0,250.0,600.0,False,False,False,False,False,False,False,False,360000.0
2705,Duplex,Cerro-Argüello,Villa Belgrano,Abierto,3.0,2.0,0.0,163.0,173.0,False,False,False,False,False,True,False,False,240000.0
2706,Casa,Noroeste,Villa Cabrera,Abierto,4.0,2.0,1.0,230.0,220.0,False,False,False,False,False,False,False,False,205000.0
2707,Casa,Cerro-Argüello,Argüello,Abierto,4.0,2.0,0.0,268.0,1780.0,False,False,False,False,True,True,False,False,225000.0
2708,Casa,Noroeste,La France,Abierto,2.0,1.0,2.0,130.0,243.0,False,False,False,False,False,False,False,False,95000.0
2709,Casa,Noroeste,Villa Cabrera,Abierto,4.0,2.0,1.0,205.0,310.0,False,False,False,False,False,False,False,False,145000.0
2710,Duplex,Cerro-Argüello,Quintas de Argüello,Abierto,3.0,2.0,2.0,162.0,200.0,False,False,False,False,False,False,False,False,185000.0
2711,Duplex,Cerro-Argüello,Quintas de Argüello,Abierto,3.0,2.0,2.0,162.0,200.0,False,False,False,False,False,False,False,False,185000.0
2712,Casa,Cerro-Argüello,Estancia Q2,Cerrado,2.0,2.0,2.0,300.0,1080.0,False,False,False,False,False,False,False,False,310000.0
2713,Casa,Cerro-Argüello,Villa Rivera Indarte,Abierto,4.0,3.0,1.0,196.0,1000.0,False,False,False,False,False,False,False,False,165000.0
2714,Casa,Cerro-Argüello,Quintas de Argüello,Abierto,2.0,1.0,0.0,85.0,215.0,False,False,False,False,False,True,False,False,135000.0
2715,Casa,Oeste,Parque Don Bosco,Abierto,3.0,3.0,1.0,188.0,385.0,False,False,False,False,False,False,False,False,130000.0
2716,Casa,Noroeste,Villa Cabrera,Abierto,3.0,2.0,2.0,140.0,221.0,False,False,False,False,False,False,False,False,130000.0
2717,Duplex,Oeste,Valle Escondido,Cerrado,3.0,2.0,1.0,130.0,360.0,False,False,False,False,False,False,False,False,210000.0
2718,Casa,Oeste,Tejas III,Cerrado,3.0,2.0,0.0,280.0,660.0,False,False,False,False,True,True,False,False,450000.0
2719,Duplex,Sur,Claros del Bosque,Cerrado,2.0,2.0,0.0,180.0,85.0,False,False,False,False,True,True,False,False,135000.0
