,Tipo de Propiedad,Zona,Ciudad,Barrio,Calle,Tipo de Barrio,Apto Escritura,Apto Crédito:,Etapa de Construcción,Antigüedad,Cantidad de Plantas,Cantidad de Dormitorios,Cantidad de Baños,Cantidad de Cocheras,Cobertura Cocheras,Superficie Total m2,Superficie Cubierta m2,Valor
3321,Casa,,Mendiolaza,Mendiolaza Golf,Londres 485,Abierto,Si,,Terminada,6 años,1 Planta,3 Dormitorios,2 Baños,1,Cubierta,600,140,180000
3322,Casa,Norte,Córdoba,,,Country,,,,,,4 Dormitorios,,,,,,
3323,Casa,,Córdoba,Pque. Velez Sarsfield,SUECIA 2891,Abierto,,,Terminada,,1 Planta,3 Dormitorios,3 Baños,2,Cubierta,389,210,
3324,Casa,Norte,Córdoba,,,Country,,,,,,3 Dormitorios,,,,,,
3325,Casa,,Villa Carlos Paz,,,Abierto,,,,20 años,1 Planta,3 Dormitorios,1 Baño,2,,1200,170,
3326,Casa,,Villa del Lago,,,Abierto,,,,,1 Planta,2 Dormitorios,2 Baños,,,4500,220,
3327,Casa,Norte,Córdoba,Lomas de la Carolina,,Country,Si,,,15 años,,4 Dormitorios,,5,Cubierta,5000,990,
3328,Casa,Norte,Córdoba,Cerro de las Rosas,Mayor Arruabarrena,,,,,,,3 Dormitorios,,,,,,
3329,Casa,,Córdoba,Ituzaingo,Kelvin 5400,,Si,,Terminada,45 años,1 Planta,2 Dormitorios,1 Baño,2,,300,100,
3330,Casa,,Córdoba,Villa Rivera Indarte,Laguna Larga 9300,Abierto,No,,,,2 Plantas,2 Dormitorios,1 Baño,1,Descubierta,295,77,85000
3331,Duplex,Norte,Córdoba,Cerro de las Rosas,Cortejarena 4382,Abierto,Si,,,4 años,2 Plantas,2 Dormitorios,2 Baños,1,Semidescubierta,130,120,165000
3332,Casa,,Córdoba,Alto Alberdi,AGUIRRE CAMARA 400,,Si,,Terminada,39 años,1 Planta,3 Dormitorios,1 Baño,1,,90,150,
3333,Casa,Este,Córdoba,Ferreyra,CAMINO CAPILLA DE LOS REMEDIOS,Abierto,Si,,,30 años,1 Planta,2 Dormitorios,1 Baño,2,Cubierta,120,120,65000
3334,Duplex,Norte,Córdoba,Villa Belgrano,Carlos Nicolle,,Si,,,,2 Plantas,3 Dormitorios,3 Baños,1,Cubierta,250,125,205000
3335,Cabaña,,Potrero de Garay,,,Abierto,Si,,,8 años,2 Plantas,2 Dormitorios,1 Baño,2,Cubierta,1000,100,120000
3336,Casa,,Córdoba,Otro,8 de diciembre 100,,Si,,,,2 Plantas,3 Dormitorios,3 Baños,2,,150,112,154500
3337,Casa,,Villa Allende,,,Country,,,,,,3 Dormitorios,,,,,,
3338,Casa,Norte,Córdoba,,,Country,,,,,,2 Dormitorios,,,,,,310000
3339,Casa,Norte,Córdoba,Villa Belgrano,Edmundo Mariotte 5479,Con Seguridad,,,,,,3 Dormitorios,,,,250,200,
3340,Casa,,Córdoba,Las Delicias,,Country,,,,,1 Planta,4 Dormitorios,3 Baños,2,Cubierta,2000,450,
3341,Casa,Norte,Córdoba,Villa Belgrano,,,,,,,,4 Dormitorios,,,,,,550000
3342,Duplex,Sur,Córdoba,Manantiales,,Con Seguridad,,,,,2 Plantas,2 Dormitorios,2 Baños,1,Descubierta,125,85,140000
3343,Casa,,Córdoba,San Vicente,López y Planes 2400,,Si,,,,1 Planta,2 Dormitorios,2 Baños,1,Cubierta,250,125,
3344,Duplex,Sur,Córdoba,,Celso Barrios 3609,Cerrado,,,,,2 Plantas,3 Dormitorios,2 Baños,1,Cubierta,200,"117,40",155000
3345,Casa,,Río Ceballos,Otro,,Abierto,Si,,Terminada,,1 Planta,3 Dormitorios,1 Baño,1,Cubierta,1310,94,105000
3346,Casa,,Villa Carlos Paz,,,Cerrado,,,Terminada,2 años,2 Plantas,4 Dormitorios,4 Baños,5,Cubierta,2000,400,550000
3347,Casa,,Córdoba,Alto Alberdi,Pje. Ahumada 600,,,,,20 años,1 Planta,3 Dormitorios,2 Baños,1,Semidescubierta,250,150,140000
3348,Casa,,Córdoba,Pque. Velez Sarsfield,Belgrano  2300,Abierto,,,Terminada,,1 Planta,3 Dormitorios,2 Baños,2,Cubierta,350,180,140000
3349,Casa,,Córdoba,Urca,,Abierto,,,,,,4 Dormitorios,,,,,,330000
3350,Casa,Oeste,Córdoba,Amp. las Palmas,Av colón   4800,Cerrado,No,,Terminada,10 años,1 Planta,2 Dormitorios,1 Baño,,,,,105000
3351,Casa,,Cabalango,,,,,,Terminada,,1 Planta,2 Dormitorios,1 Baño,2,,15.000,,200000
3352,Casa,Norte,Córdoba,Arguello,José Agusti 7600,,Si,,Terminada,30 años,1 Planta,3 Dormitorios,1 Baño,2,Cubierta,375,160,
