,Tipo de Propiedad,Zona,Ciudad,Barrio,Calle,Tipo de Barrio,Apto Escritura,Apto Crédito,Etapa de Construcción,Antigüedad,Cantidad de Plantas,Cantidad de Dormitorios,Cantidad de Baños,Cantidad de Cocheras,Cobertura Cocheras,Superficie Total m2,Superficie Cubierta m2,Valor
1011,Casa,,Pdo. de Punilla,Villa Carlos Paz,Lules 100,,,,,,2,3,3,2,,300,100,200000
1012,Casa,,Córdoba,Sarmiento,Guido Spano 2900,,,,,,1,3,2,1,,475,175,61855
1013,Duplex,,Córdoba,Arguello,Jorge Descotte 7400,,,,,,1,2,1,1,,250,80,90000
1014,Casa,,Córdoba,Maipu Seccion 1,Extremadura 2200,,,,,40,1,3,2,2,,349,215,140000
1015,CasaQuinta,,Pdo. de Cruz Del Eje,Cruz Del Eje,Casa de Campo en Las Playas / Cruz del Eje. ,,,,,,,2,,,,60.400,180,
1016,Casa,,Córdoba,Parque Velez Sarsfield,Jose Ramon Aguirre 2900,,,,,,1,4,3,3,,250,200,179000
1017,Casa,,Córdoba,Alto Verde,Herminio Malvino 3300,,,,,,1,3,2,3,,780,250,230000
1018,Duplex,,Córdoba,Centro,Av. Boderau 8700,,,,,6,2,2,3,,,245,100,135000
1019,Duplex,,Pdo. de Punilla,Villa Carlos Paz,Gobernador Roca 400,,,,,,,3,3,,,,,200000
1020,Casa,,Pdo. de Punilla,Villa Carlos Paz,Chaco 600,,,,,,,2,1,1,,320,70,110000
1021,Casa,,Pdo. de Punilla,Villa Carlos Paz,Causana 100,,,,,,,5,4,,,2.500,700,800000
1022,Casa,,Pdo. de Punilla,Villa Carlos Paz,Causana 100,,,,,,,3,6,,,2.100,350,480000
1023,Casa,,Córdoba,Marques De Sobremonte,Francisco Lopez Correa 2300,,,,,40,1,3,1,2,,300,200,130000
1024,Duplex,,Córdoba,San Martin,Ciudad De Esteco 3400,,,,,,2,2,2,1,,109,113,125000
1025,Casa,,Pdo. de Santa Maria,Alta Gracia,Belisario Roldan 100,,,,,1,2,4,4,2,,330,250,190000
1026,Casa,,Pdo. de Cordoba Capital,Cordoba,,,,,,,,4,4,,,1.750,500,
1027,Casa,,Pdo. de Punilla,Villa Carlos Paz,Jose MuÑoz 100,,,,,,3,4,3,2,,200,200,500000
1028,Casa,,Pdo. de Punilla,Villa Carlos Paz,Bahia Escondida 100,,,,,15,,3,3,,,20.000,250,500000
1029,Casa,,Córdoba,Villa San Carlos,Pública 100,,,,,,,3,3,,,1.500,400,
1030,Casa,,Córdoba,Parque Liceo,Calixto Oyuela 4600,,,,,29,1,2,1,3,,335,145,79896
1031,Casa,,Córdoba,Alta Cordoba,Miguel De Cervantes 300,,,,,,,3,3,1,,195,195,160000
1032,Casa,,Pdo. de Punilla,Villa Carlos Paz,Las Vertientes 100,,,,,,,3,2,,,800,180,260000
1033,Duplex,,Córdoba,Parque Liceo,Gutierrez Najera 900,,,,,4,2,2,2,1,,170,100,125000
